SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,DATE,TOTALTRADES,ISIN
CHOLAHLDNG,EQ,695,695,652.6,661.2,660,688.25,77778,52524105.55,2021-06-16,6374,INE149A01033
CIGNITITEC,EQ,486.8,509,481.35,488.3,487,481.75,619314,307395311.8,2021-06-16,16753,INE675C01017
CINELINE,EQ,44.95,49.6,44.6,48.65,48.55,44.85,1114025,53474422.3,2021-06-16,7289,INE704H01022
CINEVISTA,BE,13,13,12.2,12.35,12.5,12.8,57310,704691.55,2021-06-16,163,INE039B01026
CIPLA,EQ,969,971.15,953.8,956.75,956,969.7,1684500,1621466743,2021-06-16,36115,INE059A01026
CLEDUCATE,EQ,117.95,118,114,114.2,114,114.6,95774,11037775.05,2021-06-16,927,INE201M01011
CLNINDIA,EQ,569.4,570,545.4,553.85,552,569.4,175038,97218477.3,2021-06-16,7569,INE492A01029
CLSEL,EQ,129.5,130.5,128,128.3,128.5,128.9,43035,5549032.7,2021-06-16,585,INE419D01026
CMICABLES,EQ,50.85,51.6,49.2,49.5,49.75,50.85,81925,4110004.1,2021-06-16,409,INE981B01011
CMMIPL,SM,21.05,21.05,19.15,20.1,20.1,20.15,21000,430650,2021-06-16,7,INE289S01013
COALINDIA,EQ,157.3,158.8,154.85,155.55,155.2,157.15,14098443,2210915680,2021-06-16,73166,INE522F01014
COCHINSHIP,EQ,413.45,433.9,401.1,419.05,417.6,410.85,2263897,950230369.7,2021-06-16,53967,INE704P01017
COFFEEDAY,EQ,38.5,39.95,37.65,38.5,38.45,38.75,1774833,68728043.5,2021-06-16,6406,INE335K01011
COFORGE,EQ,3962.95,4026,3911,3977.5,3962,3944.85,451884,1798633251,2021-06-16,32846,INE591G01017
COLPAL,EQ,1720.05,1725.45,1701,1713,1710.3,1712.7,420285,719699548.5,2021-06-16,25825,INE259A01022
COMPINFO,EQ,27.7,27.9,26.6,26.95,26.8,27.45,282280,7657547.2,2021-06-16,1349,INE070C01037
COMPUSOFT,EQ,15.75,16.2,15.1,16.2,16.2,14.75,896483,14217745.5,2021-06-16,2297,INE453B01029
CONCOR,EQ,687,695,680.05,683.4,683,684.7,2306078,1587703691,2021-06-16,46068,INE111A01025
CONFIPET,EQ,62.4,62.5,60,60.7,60.5,62.45,847704,51994172.25,2021-06-16,6991,INE552D01024
CONSOFINVT,EQ,93.15,96.9,92.15,93.2,92.2,93.15,33609,3131032.85,2021-06-16,183,INE025A01027
CONTI,SM,6.9,6.9,6.9,6.9,6.9,6.9,3333,22997.7,2021-06-16,1,INE340Z01019
CONTROLPR,EQ,363,363,351.55,353,352.55,356.65,13766,4874250.75,2021-06-16,787,INE663B01015
CORALFINAC,EQ,39.35,40.75,36.55,38.05,37.7,38.75,317760,12417635.4,2021-06-16,3521,INE558D01021
CORDSCABLE,EQ,55.4,55.7,53.55,53.8,53.75,54.85,74167,4031200.45,2021-06-16,990,INE792I01017
COROMANDEL,EQ,845.25,882,843.45,865.85,859.9,851.15,700588,606367845.9,2021-06-16,33725,INE169A01031
COSMOFILMS,EQ,842,856.05,830,834.85,834,838.05,60223,50619588.95,2021-06-16,5252,INE757A01017
COUNCODOS,EQ,3.85,3.9,3.6,3.6,3.6,3.75,759246,2820988.75,2021-06-16,817,INE695B01025
COX&KINGS,BZ,2.1,2.1,2.1,2.1,2.1,2,511234,1073591.4,2021-06-16,212,INE008I01026
CPSEETF,EQ,27.2,27.28,26.48,26.6,26.62,26.78,2063980,54943700.49,2021-06-16,9356,INF457M01133
CRAFTSMAN,EQ,1769.8,1789.8,1721,1738.05,1732,1769.8,26931,47496669.6,2021-06-16,2967,INE00LO01017
CREATIVE,EQ,102,104,93.1,94.85,93.9,99.3,269942,26529016.8,2021-06-16,7714,INE985W01018
CREATIVEYE,EQ,3.15,3.15,3.15,3.15,3.15,3.15,100,315,2021-06-16,3,INE230B01021
CREDITACC,EQ,780,780.75,750,755.8,759,764.1,428301,325106065.1,2021-06-16,16607,INE741K01010
CREST,EQ,103.85,106.9,100.85,101.5,100.95,102.75,14954,1539190.1,2021-06-16,375,INE559D01011
CRISIL,EQ,2472.95,2565,2401.6,2442.3,2413,2472.95,128072,321501076.2,2021-06-16,13095,INE007A01025
CROMPTON,EQ,430,432.45,421.25,423.4,422,429.65,943272,403214168,2021-06-16,34899,INE299U01018
CROWN,SM,95.35,95.35,95.35,95.35,95.35,90.85,40000,3814000,2021-06-16,33,INE491V01019
CSBBANK,EQ,328.35,332.3,322.55,323.7,323.85,332.45,164745,53885145.6,2021-06-16,4088,INE679A01013
CTE,EQ,40,40,37.2,38.05,38.55,38.7,36827,1430617.8,2021-06-16,298,INE627H01017
CUB,EQ,169,169.8,166.5,167.8,166.8,168.7,1276700,214381887,2021-06-16,13540,INE491A01021
CUBEXTUB,BE,27.75,27.75,26.75,26.75,26.75,27.5,5683,154877.9,2021-06-16,49,INE144D01012
CUMMINSIND,EQ,845.95,855.4,833.6,848.9,846,846.55,2097530,1777654059,2021-06-16,49286,INE298A01020
CUPID,EQ,225.75,226.9,219,220.3,220.5,224.25,112070,24810667.15,2021-06-16,3469,INE509F01011
CYBERMEDIA,EQ,10.75,10.75,10.15,10.4,10.25,10.25,20643,216422.65,2021-06-16,106,INE278G01037
CYBERTECH,EQ,148.5,149.3,144,145.5,145.7,147.8,103733,15207876.25,2021-06-16,2957,INE214A01019
CYIENT,EQ,834,860.1,831.1,844.9,842,829.55,206259,174942089,2021-06-16,13704,INE136B01020
DAAWAT,EQ,76.85,76.9,75.35,75.65,75.7,76.5,1166364,88596175.2,2021-06-16,7421,INE818H01020
DABUR,EQ,576,582.7,575.3,580.6,580,574.8,2232810,1293430913,2021-06-16,58324,INE016A01026
DALALSTCOM,BE,0.95,0.95,0.95,0.95,0.95,0.9,29156,27698.2,2021-06-16,11,INE055C01020
DALBHARAT,EQ,1877,1900,1821.2,1841.45,1830,1859,231576,432570540.5,2021-06-16,8915,INE00R701025
DALMIASUG,EQ,409,420.6,398.85,412.15,408.05,400.8,346311,141961542.3,2021-06-16,12229,INE495A01022
DAMODARIND,EQ,38.6,38.85,36.3,37.55,36.9,38.2,24594,926708.5,2021-06-16,301,INE497D01022
DANGEE,BE,170,172,167.3,169,170,170.5,10419,1764705,2021-06-16,34,INE688Y01014
DATAMATICS,EQ,148.6,151.45,146,147.8,148,148.6,218037,32527880.3,2021-06-16,4936,INE365B01017
DBCORP,EQ,116.4,117.4,112.35,113.3,113.5,115.95,756775,87046426.5,2021-06-16,11129,INE950I01011
DBL,EQ,556.6,559.45,545,550.5,547,556.45,255384,141692501.8,2021-06-16,6611,INE917M01012
DBREALTY,EQ,26.9,27,25,25.15,25.25,26.05,599750,15386552.55,2021-06-16,2563,INE879I01012
DBSTOCKBRO,BE,16.55,17.35,16.55,17.3,17.3,16.55,16265,278930.2,2021-06-16,119,INE921B01025
DCAL,EQ,210,211.7,202.75,203.7,204.8,209.9,579536,119163689.8,2021-06-16,9409,INE385W01011
DCBBANK,EQ,110.5,112.65,109.3,111.9,111.5,111.2,2137380,237438132.1,2021-06-16,16017,INE503A01015
DCM,EQ,41.95,42.75,40.25,42,41.55,41.95,102394,4272874.8,2021-06-16,587,INE498A01018
DCMFINSERV,EQ,2.45,2.45,2.25,2.45,2.45,2.35,54098,131234.9,2021-06-16,124,INE891B01012
DCMNVL,EQ,130.45,135.65,129.3,134.8,134.95,129.95,115322,15379955.35,2021-06-16,852,INE08KP01019
DCMSHRIRAM,EQ,753.4,753.4,726,736.15,738.9,749.95,100919,74891065.4,2021-06-16,4473,INE499A01024
DCW,EQ,37.25,37.3,36.4,36.55,36.6,37,961224,35292270.45,2021-06-16,3745,INE500A01029
DECCANCE,EQ,558,573,555,561.2,562,553.4,130498,73648174.35,2021-06-16,7217,INE583C01021
DEEPAKFERT,EQ,446.55,471,425,457.5,456.8,446.55,2826329,1277526029,2021-06-16,56045,INE501A01019
DEEPAKNTR,EQ,1782.4,1814.95,1765,1774.6,1773.9,1775.1,1028848,1835631152,2021-06-16,44157,INE288B01029
DEEPENR,EQ,46.6,46.75,44,44.5,44.65,45.8,80455,3641288.05,2021-06-16,1274,INE677H01012
DEEPINDS,EQ,86.05,86.35,82.05,82.7,82.8,85.6,112386,9527443.85,2021-06-16,1388,INE0FHS01016
DELTACORP,EQ,183.8,183.8,179.55,180.3,181,183.3,1213506,219459248.9,2021-06-16,12192,INE124G01033
DELTAMAGNT,EQ,49.3,49.8,45.1,45.5,45.3,47.45,43261,2006334.55,2021-06-16,602,INE393A01011
DEN,EQ,61.85,62.8,59.15,60,59.9,61.65,4166883,251847159.8,2021-06-16,14043,INE947J01015
DENORA,EQ,350,354.15,342,342.85,342.35,347.7,27660,9567343.4,2021-06-16,1600,INE244A01016
DFMFOODS,EQ,410.5,415,399.65,401.25,402,409.5,265647,107589623.7,2021-06-16,7090,INE456C01020
DGCONTENT,EQ,15,15,13.7,13.7,13.7,15.2,811608,11191961.05,2021-06-16,1035,INE03JI01017
DHAMPURSUG,EQ,336.9,339.8,327,333.4,334,337.1,388599,129555724.5,2021-06-16,8746,INE041A01016
DHANBANK,EQ,15,15.1,14.8,14.85,14.9,14.95,612228,9134161.05,2021-06-16,1235,INE680A01011
DHANI,EQ,203.7,204.5,196.65,198.15,197.95,203.6,787783,157084009.1,2021-06-16,11342,INE274G01010
DHANILOANS,N3,1005,1005,1000,1002,1002,1005,130,130540,2021-06-16,3,INE614X07043
DHANILOANS,N4,1015,1029,1015,1029,1029,1021,40,40940,2021-06-16,3,INE614X07050
DHANILOANS,N7,1013.4,1013.4,1013.4,1013.4,1013.4,1006.31,15,15201,2021-06-16,5,INE614X07084
DHANILOANS,N8,1196,1200,1196,1200,1200,1176.55,60,71960,2021-06-16,2,INE614X07092
DHANILOANS,ND,1060,1060,1020,1022.5,1020,1065.52,107,111030,2021-06-16,11,INE614X07167
DHANIPP,E1,100.25,101.9,95,95,95,100,92675,8945539.9,2021-06-16,714,IN9274G01034
DHANUKA,EQ,981,998.7,956,983.7,983,979.6,308331,301751400,2021-06-16,15878,INE435G01025
DHARSUGAR,EQ,18.2,18.2,17.2,18.2,18.2,17.35,472702,8525898.4,2021-06-16,1456,INE988C01014
DHFL,NA,360,365,327.15,365,365,360,217,74813.38,2021-06-16,6,INE202B07HT4
DHFL,NC,360,365,358.01,363.37,365,360,2342,850952.1,2021-06-16,20,INE202B07HV0
DHFL,NF,517.2,517.2,517.2,517.2,517.2,431,9,4654.8,2021-06-16,2,INE202B07HZ1
DHFL,NH,420,420,396.1,396.1,396.1,405,97,39306,2021-06-16,2,INE202B07IB0
DHFL,NN,360,360,360,360,360,360.49,100,36000,2021-06-16,1,INE202B07IM7
DHFL,NP,360,364.9,356,361.3,362,359,698,251412.9,2021-06-16,20,INE202B07IO3
DHFL,NS,339,339,334,335,335,335.81,1566,525097,2021-06-16,19,INE202B07JA0
DHFL,NU,325.2,325.2,325.2,325.2,325.2,377.99,25,8130,2021-06-16,1,INE202B07JJ1
DHFL,NX,334,344.8,334,343.8,343.8,333,126,42754.8,2021-06-16,6,INE202B07JE2
DHUNINV,EQ,505.3,583.2,505.3,583.2,583.2,486,108356,61831027.15,2021-06-16,4019,INE320L01011
DIAMONDYD,EQ,683.4,695,671,676.7,681,675.4,36070,24627791.45,2021-06-16,3653,INE393P01035
DIAPOWER,BZ,1.4,1.4,1.4,1.4,1.4,1.35,99988,139983.2,2021-06-16,108,INE989C01012
DICIND,EQ,491.95,496.5,483,491.4,491,489.9,22342,10946430.2,2021-06-16,1305,INE303A01010
DIGISPICE,BE,50.3,50.9,47.9,48.05,47.9,50.4,140325,6838534.45,2021-06-16,823,INE927C01020
DISHTV,EQ,15.5,16,15.15,15.25,15.25,15.55,13989276,216984724.4,2021-06-16,13100,INE836F01026
DIVISLAB,EQ,4319.6,4330.25,4282.85,4300.7,4293.25,4313.05,358040,1542481102,2021-06-16,28138,INE361B01024
DIXON,EQ,4257,4257,4154.05,4193.35,4191.95,4244.85,127603,535497964.4,2021-06-16,17934,INE935N01020
DLF,EQ,307.95,311.9,304.4,306.1,304.7,308.8,11292445,3483713267,2021-06-16,85545,INE271C01023
DLINKINDIA,EQ,123.1,137.5,120.2,131.15,129.5,123.1,9173659,1212927585,2021-06-16,81451,INE250K01012
DMART,EQ,3359.5,3396.9,3275.65,3310.4,3292,3359.5,441188,1476494135,2021-06-16,48011,INE192R01011
